Name,League,Year,Club,Matches Played,Starts,Minutes,Goals,Assists,Penalty Goals,Penalty Attempts,xGoals,non-penalty xGoals,xAssists
Lucas Boyé,2015,1. Primera Div,River Plate,9,3,357,1,0,0,0,,,
Lucas Boyé,2015,1. Primera Div,Newell's OB,4,4,324,1,1,0,0,,,
Lucas Boyé,2016,1. Primera Div,Newell's OB,16,15,"1,346",1,4,0,0,,,
Lucas Boyé,2016-2017,1. Serie A,Torino,30,14,"1,458",0,3,0,0,,,
Lucas Boyé,2017-2018,1. Serie A,Torino,11,0,155,0,0,0,0,0.0,0.0,0.6
Lucas Boyé,2017-2018,1. La Liga,Celta Vigo,13,2,276,0,0,0,0,1.1,1.1,0.2
Lucas Boyé,2018-2019,1. Super League,AEK Athens,23,12,"1,154",6,1,0,0,,,
Lucas Boyé,2019-2020,2. Championship,Reading,19,5,584,0,0,0,0,1.0,1.0,0.4
Lucas Boyé,2020-2021,1. La Liga,Elche,34,32,"2,694",7,2,0,0,5.2,5.2,1.1
Lucas Boyé,2021-2022,1. La Liga,Elche,24,22,"1,713",7,3,0,0,4.6,4.6,2.0
Lucas Boyé,2022-2023,1. La Liga,Elche,35,29,"2,462",7,2,0,0,8.3,7.5,2.9
Lucas Boyé,2023-2024,2. La Liga 2,Elche,3,2,213,1,0,1,1,1.3,0.5,0.7
Lucas Boyé,2023-2024,1. La Liga,Granada,31,30,"2,541",6,3,0,0,6.2,6.2,2.8
Lucas Boyé,2024-2025,2. La Liga 2,Granada,12,8,782,3,2,0,0,3.1,3.1,0.6
Lucas Leiva,2007-2008,1. Premier League,Liverpool,18,12,"1,110",0,4,0,0,,,
Lucas Leiva,2008-2009,1. Premier League,Liverpool,25,13,"1,294",1,2,0,0,,,
Lucas Leiva,2009-2010,1. Premier League,Liverpool,35,32,"2,841",0,2,0,0,,,
Lucas Leiva,2010-2011,1. Premier League,Liverpool,33,32,"2,857",0,1,0,0,,,
Lucas Leiva,2011-2012,1. Premier League,Liverpool,12,12,"1,043",0,0,0,0,,,
Lucas Leiva,2012-2013,1. Premier League,Liverpool,26,24,"1,942",0,1,0,0,,,
Lucas Leiva,2013-2014,1. Premier League,Liverpool,27,20,"1,875",0,0,0,0,,,
Lucas Leiva,2014-2015,1. Premier League,Liverpool,20,16,"1,313",0,0,0,0,,,
Lucas Leiva,2015-2016,1. Premier League,Liverpool,27,21,"1,953",0,1,0,0,,,
Lucas Leiva,2016-2017,1. Premier League,Liverpool,24,12,"1,112",0,2,0,0,,,
Lucas Leiva,2016-2017,Jr. PL2 — Div. 1,Liverpool,1,1,45,0,0,0,0,,,
Lucas Leiva,2017-2018,1. Serie A,Lazio,36,35,"2,882",2,3,0,0,2.7,2.7,2.1
Lucas Leiva,2018-2019,1. Serie A,Lazio,27,22,"1,987",0,2,0,0,0.6,0.6,2.0
